Pali Text,English Translation,Contexts,Usage Count
Paṭisallānasuttaṃ,,Section Title: sn.5.12/Section 1072 | Section Title: sn.4.1/Section 100,2
Piyasuttaṃ,,Section Title: sn.1.3/Section 115 | Section Title: an5.24/Section 232,2
Piṇḍasuttaṃ,,Section Title: sn.2.8/Section 204 | Section Title: sn.1.4/Section 154,2
Pokkharaṇīsuttaṃ,,Section Title: sn.5.12/Section 1122 | Section Title: sn.2.2/Section 75,2
Pubbasuttaṃ,,Section Title: sn.5.7/Section 823 | Section Title: sn.4.2/Section 272,2
Purisasuttaṃ,,Section Title: sn.1.3/Section 113 | Section Title: sn.4.3/Section 281,2
Puttasuttaṃ,,Section Title: sn.2.4/Section 141 | Section Title: an5.4/Section 39,2
Pāṇasuttaṃ,,Section Title: sn.5.12/Section 1106 | Section Title: sn.5.2/Section 192,2
Rahogatavaggo,,Vagga Title: sn.5.8/Section 899 | Vagga Title: sn.4.2/Section 259,2
Sagāthakasuttaṃ,,Section Title: sn.5.11/Section 1047 | Section Title: sn.2.6/Section 166,2
Sakalikasuttaṃ,,Section Title: sn.1.1/Section 38 | Section Title: sn.1.4/Section 149,2
Sakkanāmasuttaṃ,,Section Title: sn.1.10/Section 236 | Section Title: sn.1.11/Section 258,2
Samattasuttaṃ,,Section Title: sn.5.3/Section 393 | Section Title: sn.5.7/Section 818,2
Samayasuttaṃ,,Section Title: sn.1.1/Section 37 | Section Title: an5.6/Section 54,2
Samaṇasuttaṃ,,Section Title: an7.9/Section 86 | Section Title: an3.9/Section 82,2
Sambahulabhikkhusuttaṃ,,Section Title: sn.4.1/Section 81 | Section Title: sn.4.2/Section 274,2
Sambahulasuttaṃ,,Section Title: sn.1.4/Section 157 | Section Title: sn.1.9/Section 224,2
Samiddhisuttaṃ,,Section Title: sn.1.1/Section 20 | Section Title: sn.1.4/Section 158,2
Sampadāsuttaṃ,,Section Title: an5.5/Section 46 | Section Title: an3.14/Section 139,2
Saññāsuttaṃ,,Section Title: sn.2.7/Section 193 | Section Title: an7.3/Section 27,2
Siṅgālasuttaṃ,,Section Title: sn.2.6/Section 164 | Section Title: sn.2.9/Section 233,2
Sotāpannasuttaṃ,,Section Title: sn.5.4/Section 496 | Section Title: sn.5.4/Section 502,2
Soṇasuttaṃ,,Section Title: sn.4.1/Section 128 | Section Title: an5.20/Section 191,2
Suddhakasuttaṃ,,Section Title: sn.5.11/Section 1042 | Section Title: sn.5.4/Section 495,2
Susimasuttaṃ,,Section Title: sn.2.1/Section 70 | Section Title: sn.1.2/Section 110,2
Sājīvasuttaṃ,,Section Title: an5.17/Section 164 | Section Title: an5.7/Section 66,2
Sākacchasuttaṃ,,Section Title: an5.17/Section 163 | Section Title: an5.7/Section 65,2
