# Pali Buddhist Terms for Translation
# Total: 1603 terms
# Format: Pali Term | Usage Count | Sample Context

Paṭhamaphalasuttaṃ | 2 uses | Section Title: sn.5.4/Section 535
Paṭhamasaññāsuttaṃ | 2 uses | Section Title: an5.7/Section 61
Paṭhamavibhaṅgasuttaṃ | 2 uses | Section Title: sn.5.4/Section 479
Paṭhamaānandasuttaṃ | 2 uses | Section Title: sn.5.7/Section 839
Paṭisallānasuttaṃ | 2 uses | Section Title: sn.5.12/Section 1072
Piyasuttaṃ | 2 uses | Section Title: sn.1.3/Section 115
Piṇḍasuttaṃ | 2 uses | Section Title: sn.2.8/Section 204
Pokkharaṇīsuttaṃ | 2 uses | Section Title: sn.5.12/Section 1122
Pubbasuttaṃ | 2 uses | Section Title: sn.5.7/Section 823
Purisasuttaṃ | 2 uses | Section Title: sn.1.3/Section 113
Puttasuttaṃ | 2 uses | Section Title: sn.2.4/Section 141
Pāṇasuttaṃ | 2 uses | Section Title: sn.5.12/Section 1106
Rahogatavaggo | 2 uses | Vagga Title: sn.5.8/Section 899
Sagāthakasuttaṃ | 2 uses | Section Title: sn.5.11/Section 1047
Sakalikasuttaṃ | 2 uses | Section Title: sn.1.1/Section 38
Sakkanāmasuttaṃ | 2 uses | Section Title: sn.1.10/Section 236
Samattasuttaṃ | 2 uses | Section Title: sn.5.3/Section 393
Samayasuttaṃ | 2 uses | Section Title: sn.1.1/Section 37
Samaṇasuttaṃ | 2 uses | Section Title: an7.9/Section 86
Sambahulabhikkhusuttaṃ | 2 uses | Section Title: sn.4.1/Section 81
Sambahulasuttaṃ | 2 uses | Section Title: sn.1.4/Section 157
Samiddhisuttaṃ | 2 uses | Section Title: sn.1.1/Section 20
Sampadāsuttaṃ | 2 uses | Section Title: an5.5/Section 46
Saññāsuttaṃ | 2 uses | Section Title: sn.2.7/Section 193
Siṅgālasuttaṃ | 2 uses | Section Title: sn.2.6/Section 164
Sotāpannasuttaṃ | 2 uses | Section Title: sn.5.4/Section 496
Soṇasuttaṃ | 2 uses | Section Title: sn.4.1/Section 128
Suddhakasuttaṃ | 2 uses | Section Title: sn.5.11/Section 1042
Susimasuttaṃ | 2 uses | Section Title: sn.2.1/Section 70
Sājīvasuttaṃ | 2 uses | Section Title: an5.17/Section 164
Sākacchasuttaṃ | 2 uses | Section Title: an5.17/Section 163
Sālasuttaṃ | 2 uses | Section Title: sn.5.3/Section 370
Sārajjasuttaṃ | 2 uses | Section Title: an5.16/Section 158
Sārandadasuttaṃ | 2 uses | Section Title: an5.15/Section 143
Sāriputtasuttaṃ | 2 uses | Section Title: sn.1.8/Section 214
Sāvajjasuttaṃ | 2 uses | Section Title: an3.1/Section 7
Sīhasenāpatisuttaṃ | 2 uses | Section Title: an5.4/Section 34
Sīlavantasuttaṃ | 2 uses | Section Title: an5.9/Section 87
Sūcilomasuttaṃ | 2 uses | Section Title: sn.2.8/Section 209
Tathasuttaṃ | 2 uses | Section Title: sn.5.12/Section 1090
Tathāgatasuttaṃ | 2 uses | Section Title: sn.5.12/Section 1082
Taṇhakkhayasuttaṃ | 2 uses | Section Title: sn.5.2/Section 207
Taṇhāsuttaṃ | 2 uses | Section Title: sn.2.7/Section 195
Udāyīsuttaṃ | 2 uses | Section Title: sn.4.1/Section 234
Upakkilesasuttaṃ | 2 uses | Section Title: sn.5.2/Section 214
Uṇṇābhabrāhmaṇasuttaṃ | 2 uses | Section Title: sn.5.4/Section 512
Vacchagottasuttaṃ | 2 uses | Section Title: sn.4.10/Section 417
Vajjiputtasuttaṃ | 2 uses | Section Title: sn.1.9/Section 229
Vedanāsuttaṃ | 2 uses | Section Title: sn.5.3/Section 415
Virāgasuttaṃ | 2 uses | Section Title: sn.5.2/Section 256
Visāradasuttaṃ | 2 uses | Section Title: sn.4.3/Section 304
Viññāṇasuttaṃ | 2 uses | Section Title: sn.2.1/Section 59
Yodhājīvasuttaṃ | 2 uses | Section Title: sn.4.8/Section 355
Ñāṇasuttaṃ | 2 uses | Section Title: sn.5.7/Section 821
Ādittasuttaṃ | 2 uses | Section Title: sn.1.1/Section 41
Āhārasuttaṃ | 2 uses | Section Title: sn.5.2/Section 232
Ājīvakasuttaṃ | 2 uses | Section Title: an5.28/Section 293
Ṭhānasuttaṃ | 2 uses | Section Title: sn.5.8/Section 913
Abbhokāsikasuttaṃ | 1 uses | Section Title: an5.19/Section 185
Abhayasuttaṃ | 1 uses | Section Title: sn.5.2/Section 237
Abhibhuyyasuttaṃ | 1 uses | Section Title: sn.4.3/Section 306
Abhinandasuttaṃ | 1 uses | Section Title: sn.2.3/Section 119
Abhisamayavaggo | 1 uses | Vagga Title: sn.5.12/Section 1121
Abhiññāpariññāpahānasuttaṃ | 1 uses | Section Title: sn.4.1/Section 25
Abhiṇhapaccavekkhitabbaṭhānasuttaṃ | 1 uses | Section Title: an5.6/Section 57
Abyākatasuttaṃ | 1 uses | Section Title: an7.6/Section 54
Acariṃsuttaṃ | 1 uses | Section Title: sn.2.3/Section 116
Accentisuttaṃ | 1 uses | Section Title: sn.1.1/Section 4
Accharāsuttaṃ | 1 uses | Section Title: sn.1.1/Section 46
Accāyikasuttaṃ | 1 uses | Section Title: an3.10/Section 93
Acirapakkantasuttaṃ | 1 uses | Section Title: sn.2.6/Section 184
Adaliddasuttaṃ | 1 uses | Section Title: sn.5.2/Section 228
Adantaaguttasuttaṃ | 1 uses | Section Title: sn.4.1/Section 94
Addhabhūtasuttaṃ | 1 uses | Section Title: sn.4.1/Section 29
Addhavaggo | 1 uses | Vagga Title: sn.1.1/Section 61
Adhikaraṇasamathasuttaṃ | 1 uses | Section Title: an7.8/Section 84
Adinnādānasuttaṃ | 1 uses | Section Title: sn.5.12/Section 1142
Aggikasuttaṃ | 1 uses | Section Title: sn.1.7/Section 194
Aggikkhandhopamasuttaṃ | 1 uses | Section Title: an7.7/Section 72
Agārasuttaṃ | 1 uses | Section Title: sn.4.2/Section 262
Ahirikamūlakasuttaṃ | 1 uses | Section Title: sn.2.3/Section 103
Ahiṃsakasuttaṃ | 1 uses | Section Title: sn.1.7/Section 191
Ajarasāsuttaṃ | 1 uses | Section Title: sn.1.1/Section 52
Ajeḷakasuttaṃ | 1 uses | Section Title: sn.5.12/Section 1158
Ajjhattaaniccachandarāgasuttaṃ | 1 uses | Section Title: sn.4.1/Section 170
Ajjhattaaniccachandasuttaṃ | 1 uses | Section Title: sn.4.1/Section 168
Ajjhattaaniccanandikkhayasuttaṃ | 1 uses | Section Title: sn.4.1/Section 158
Ajjhattaaniccarāgasuttaṃ | 1 uses | Section Title: sn.4.1/Section 169
Ajjhattadukkhahetusuttaṃ | 1 uses | Section Title: sn.4.1/Section 141
Ajjhattadukkhasuttaṃ | 1 uses | Section Title: sn.4.1/Section 2
Ajjhattadukkhātītānāgatasuttaṃ | 1 uses | Section Title: sn.4.1/Section 8
Ajjhattanandikkhayasuttaṃ | 1 uses | Section Title: sn.4.1/Section 156
Ajjhattapaccuppannayadaniccasuttaṃ | 1 uses | Section Title: sn.4.1/Section 206
Ajjhattapaccuppannāniccasuttaṃ | 1 uses | Section Title: sn.4.1/Section 188
Ajjhattikaṅgasuttaṃ | 1 uses | Section Title: sn.5.2/Section 230
Ajjhattikāyatanaparijānanasuttaṃ | 1 uses | Section Title: sn.4.1/Section 111
Ajjhattikāyatanasuttaṃ | 1 uses | Section Title: sn.5.12/Section 1084
Ajjhattānattahetusuttaṃ | 1 uses | Section Title: sn.4.1/Section 142
Ajjhattānattasuttaṃ | 1 uses | Section Title: sn.4.1/Section 3
Ajjhattānattātītānāgatasuttaṃ | 1 uses | Section Title: sn.4.1/Section 9
Ajjhattāniccahetusuttaṃ | 1 uses | Section Title: sn.4.1/Section 140
Ajjhattāniccasuttaṃ | 1 uses | Section Title: sn.4.1/Section 1
Ajjhattāniccātītānāgatasuttaṃ | 1 uses | Section Title: sn.4.1/Section 7
Ajjhattānāgatayadaniccasuttaṃ | 1 uses | Section Title: sn.4.1/Section 205
Ajjhattānāgatāniccasuttaṃ | 1 uses | Section Title: sn.4.1/Section 187
Ajjhattātītayadaniccasuttaṃ | 1 uses | Section Title: sn.4.1/Section 204
Ajjhattātītādianattasuttaṃ | 1 uses | Section Title: sn.4.1/Section 192
Ajjhattātītādidukkhasuttaṃ | 1 uses | Section Title: sn.4.1/Section 189
Ajjhattātītādiyadanattasuttaṃ | 1 uses | Section Title: sn.4.1/Section 210
Ajjhattātītādiyaṃdukkhasuttaṃ | 1 uses | Section Title: sn.4.1/Section 207
Ajjhattātītāniccasuttaṃ | 1 uses | Section Title: sn.4.1/Section 186
Ajjhattāyatanaanattasuttaṃ | 1 uses | Section Title: sn.4.1/Section 224
Ajjhattāyatanaaniccasuttaṃ | 1 uses | Section Title: sn.4.1/Section 222
Ajjhattāyatanadukkhasuttaṃ | 1 uses | Section Title: sn.4.1/Section 223
Akkhamasuttaṃ | 1 uses | Section Title: an5.9/Section 85
Akkodhanasuttaṃ | 1 uses | Section Title: sn.4.3/Section 294
Akkodhasuttaṃ | 1 uses | Section Title: sn.1.11/Section 271
Akkosakasuttaṃ | 1 uses | Section Title: an5.22/Section 211
Akkosasuttaṃ | 1 uses | Section Title: sn.1.7/Section 188
Akusalamūlasuttaṃ | 1 uses | Section Title: an3.7/Section 70
Akusalavitakkasuttaṃ | 1 uses | Section Title: sn.1.9/Section 231
Alabbhanīyaṭhānasuttaṃ | 1 uses | Section Title: an5.5/Section 48
Amaccharīsuttaṃ | 1 uses | Section Title: sn.4.3/Section 297
Amatasuttaṃ | 1 uses | Section Title: sn.5.3/Section 407
Amatavaggo | 1 uses | Vagga Title: sn.5.3/Section 407
Ambapālisuttaṃ | 1 uses | Section Title: sn.5.3/Section 367
Ambapālivaggo | 1 uses | Vagga Title: sn.5.3/Section 367
Ambapālivanasuttaṃ | 1 uses | Section Title: sn.5.8/Section 907
Anabhiratisuttaṃ | 1 uses | Section Title: sn.5.2/Section 251
Ananussutavaggo | 1 uses | Vagga Title: sn.5.3/Section 397
Anatasuttaṃ | 1 uses | Section Title: sn.4.9/Section 378
Anaticārīsuttaṃ | 1 uses | Section Title: sn.4.3/Section 298
Anattachandādisuttaṃ | 1 uses | Section Title: sn.4.1/Section 174
Anattanibbānasappāyasuttaṃ | 1 uses | Section Title: sn.4.1/Section 149
Anattasuttaṃ | 1 uses | Section Title: sn.5.2/Section 254
Anattānupassīsuttaṃ | 1 uses | Section Title: an7.2/Section 18
Andhakavindasuttaṃ | 1 uses | Section Title: sn.1.6/Section 184
Andhakārasuttaṃ | 1 uses | Section Title: sn.5.12/Section 1116
Andhasuttaṃ | 1 uses | Section Title: an3.3/Section 29
Aniccanibbānasappāyasuttaṃ | 1 uses | Section Title: sn.4.1/Section 147
Aniccavaggo | 1 uses | Vagga Title: sn.4.1/Section 1
Aniccānupassīsuttaṃ | 1 uses | Section Title: an7.2/Section 16
Animittapañhāsuttaṃ | 1 uses | Section Title: sn.4.6/Section 340
Anissukīsuttaṃ | 1 uses | Section Title: sn.4.3/Section 296
Annasuttaṃ | 1 uses | Section Title: sn.1.1/Section 43
Anomasuttaṃ | 1 uses | Section Title: sn.1.1/Section 45
Anottappamūlakasuttaṃ | 1 uses | Section Title: sn.2.3/Section 104
Anottappīsuttaṃ | 1 uses | Section Title: sn.2.5/Section 145
Antarapeyyālaṃ | 1 uses | Vagga Title: sn.2.1/Section 73
Antevāsikasuttaṃ | 1 uses | Section Title: sn.4.1/Section 151
Anuggahitasuttaṃ | 1 uses | Section Title: an5.3/Section 25
Anukampasuttaṃ | 1 uses | Section Title: an5.24/Section 235
Anupakkilesasuttaṃ | 1 uses | Section Title: sn.5.2/Section 215
Anupanāhīsuttaṃ | 1 uses | Section Title: sn.4.3/Section 295
Anuruddhasuttaṃ | 1 uses | Section Title: sn.1.9/Section 226
Anurādhasuttaṃ | 1 uses | Section Title: sn.4.10/Section 411
Anusayapahānasuttaṃ | 1 uses | Section Title: sn.4.1/Section 58
Anusayasamugghātasuttaṃ | 1 uses | Section Title: sn.4.1/Section 59
Anāgāmiphalasuttaṃ | 1 uses | Section Title: sn.5.11/Section 1053
Anāsavādisuttaṃ | 1 uses | Section Title: sn.4.9/Section 379
Anāthapiṇḍikasuttaṃ | 1 uses | Section Title: sn.1.2/Section 101
Anāthapiṇḍikavaggo | 1 uses | Vagga Title: sn.1.2/Section 92
Apagatasuttaṃ | 1 uses | Section Title: sn.2.7/Section 201
Aparadutiyajhānasuttādisattakaṃ | 1 uses | Section Title: an5.26/Section 265
Aparapaṭhamajhānasuttaṃ | 1 uses | Section Title: an5.26/Section 264
Aparihāniyasuttaṃ | 1 uses | Section Title: sn.5.2/Section 206
Appakasuttaṃ | 1 uses | Section Title: sn.1.3/Section 117
Appamattapaññāsuttaṃ | 1 uses | Section Title: sn.5.11/Section 1062
Appameyyasuttaṃ | 1 uses | Section Title: an3.12/Section 116
Appamādagāravasuttaṃ | 1 uses | Section Title: an7.4/Section 32
Appamādasuttaṃ | 1 uses | Section Title: sn.1.3/Section 128
Appassutamūlakasuttaṃ | 1 uses | Section Title: sn.2.3/Section 105
Appassutasuttaṃ | 1 uses | Section Title: sn.4.3/Section 290
Appaṭividitasuttaṃ | 1 uses | Section Title: sn.1.1/Section 7
Apārasuttaṃ | 1 uses | Section Title: sn.5.7/Section 813
Arahantavaggo | 1 uses | Vagga Title: sn.1.7/Section 187
Arahattapañhāsuttaṃ | 1 uses | Section Title: sn.4.4/Section 315
Arahattaphalasuttaṃ | 1 uses | Section Title: sn.5.11/Section 1054
Arahāsuttaṃ | 1 uses | Section Title: an7.9/Section 92
Arakasuttaṃ | 1 uses | Section Title: an7.7/Section 74
Arakkheyyasuttaṃ | 1 uses | Section Title: an7.6/Section 58
Arakkhitasuttaṃ | 1 uses | Section Title: an3.11/Section 110
Aratisuttaṃ | 1 uses | Section Title: sn.1.8/Section 210
Araññasuttaṃ | 1 uses | Section Title: sn.1.1/Section 10
Araññāyatanaisisuttaṃ | 1 uses | Section Title: sn.1.11/Section 255
Araṇasuttaṃ | 1 uses | Section Title: sn.1.1/Section 81
Ariyasāvakasuttaṃ | 1 uses | Section Title: sn.2.1/Section 49
Aruṇavatīsuttaṃ | 1 uses | Section Title: sn.1.6/Section 185
Asaddhammasuttaṃ | 1 uses | Section Title: an7.9/Section 93
Asamāhitasuttaṃ | 1 uses | Section Title: sn.2.3/Section 107
Asanisuttaṃ | 1 uses | Section Title: sn.2.6/Section 162
Asappurisadānasuttaṃ | 1 uses | Section Title: an5.15/Section 147
Asaṅkhatalakkhaṇasuttaṃ | 1 uses | Section Title: an3.5/Section 48
Asaṅkhatasuttaṃ | 1 uses | Section Title: sn.4.9/Section 377
Asibandhakaputtasuttaṃ | 1 uses | Section Title: sn.4.8/Section 358
Asilomasuttaṃ | 1 uses | Section Title: sn.2.8/Section 206
Assaddhamūlakasuttaṃ | 1 uses | Section Title: sn.2.3/Section 102
Assaddhasaṃsandanasuttaṃ | 1 uses | Section Title: sn.2.3/Section 101
Assaddhasuttaṃ | 1 uses | Section Title: an5.9/Section 84
Assakhaḷuṅkasuttaṃ | 1 uses | Section Title: an3.14/Section 141
Assaparassasuttaṃ | 1 uses | Section Title: an3.14/Section 142
Assusuttaṃ | 1 uses | Section Title: sn.2.4/Section 126
Assutavāsuttaṃ | 1 uses | Section Title: sn.2.1/Section 61
Assārohasuttaṃ | 1 uses | Section Title: sn.4.8/Section 357
